OID_,Name,Month,TweetCount,Shape_Length,Shape_Area,MONTH2
218,Volyn,September,0.000000000000000,10.708379983726484,2.611384916895361,9.000000000000000
219,Volyn,August,1.000000000000000,10.708379983726484,2.611384916895361,8.000000000000000
220,Volyn,July,3.000000000000000,10.708379983726484,2.611384916895361,7.000000000000000
221,Volyn,June,1.000000000000000,10.708379983726484,2.611384916895361,6.000000000000000
222,Volyn,May,1.000000000000000,10.708379983726484,2.611384916895361,5.000000000000000
223,Volyn,April,3.000000000000000,10.708379983726484,2.611384916895361,4.000000000000000
224,Volyn,March,22.000000000000000,10.708379983726484,2.611384916895361,3.000000000000000
225,Volyn,February,8.000000000000000,10.708379983726484,2.611384916895361,2.000000000000000
226,Zaporizhzhya,October,1.000000000000000,15.947671989385789,3.176211489249476,10.000000000000000
227,Zaporizhzhya,September,1.000000000000000,15.947671989385789,3.176211489249476,9.000000000000000
228,Zaporizhzhya,August,0.000000000000000,15.947671989385789,3.176211489249476,8.000000000000000
229,Zaporizhzhya,July,5.000000000000000,15.947671989385789,3.176211489249476,7.000000000000000
230,Zaporizhzhya,June,1.000000000000000,15.947671989385789,3.176211489249476,6.000000000000000
231,Zaporizhzhya,May,6.000000000000000,15.947671989385789,3.176211489249476,5.000000000000000
232,Zaporizhzhya,April,4.000000000000000,15.947671989385789,3.176211489249476,4.000000000000000
233,Zaporizhzhya,March,2.000000000000000,15.947671989385789,3.176211489249476,3.000000000000000
234,Zaporizhzhya,February,3.000000000000000,15.947671989385789,3.176211489249476,2.000000000000000
235,Zhytomyr,October,0.000000000000000,12.826337226540423,3.820701912212262,10.000000000000000
236,Zhytomyr,September,0.000000000000000,12.826337226540423,3.820701912212262,9.000000000000000
237,Zhytomyr,August,1.000000000000000,12.826337226540423,3.820701912212262,8.000000000000000
238,Zhytomyr,July,0.000000000000000,12.826337226540423,3.820701912212262,7.000000000000000
239,Zhytomyr,June,1.000000000000000,12.826337226540423,3.820701912212262,6.000000000000000
240,Zhytomyr,May,1.000000000000000,12.826337226540423,3.820701912212262,5.000000000000000
241,Zhytomyr,April,5.000000000000000,12.826337226540423,3.820701912212262,4.000000000000000
242,Zhytomyr,March,1.000000000000000,12.826337226540423,3.820701912212262,3.000000000000000
243,Zhytomyr,February,2.000000000000000,12.826337226540423,3.820701912212262,2.000000000000000
